name,gender,country_code,country,disciplines,birth_date
DATE Kiyomu,Male,JPN,Japan,['Water Polo'],4/9/1997
NITTA Ikkei,Male,JPN,Japan,['Water Polo'],4/23/1998
ADACHI Seiya,Male,JPN,Japan,['Water Polo'],6/24/1995
OKAWA Keigo,Male,JPN,Japan,['Water Polo'],3/11/1990
TANAMURA Katsuyuki,Male,JPN,Japan,['Water Polo'],8/3/1989
ARAKI Kenta,Male,JPN,Japan,['Water Polo'],4/6/1995
INABA Yusuke,Male,JPN,Japan,['Water Polo'],4/11/2000
TAKATA Mitsuru,Male,JPN,Japan,['Water Polo'],12/8/1995
SUZUKI Toi,Male,JPN,Japan,['Water Polo'],10/20/1999
KOBAYASHI Uta,Female,JPN,Japan,['Artistic Swimming'],8/6/2002
SHIMADA Ayano,Female,JPN,Japan,['Artistic Swimming'],6/22/2006
WADA Ami,Female,JPN,Japan,['Artistic Swimming'],6/30/2003
FUJII Moka,Female,JPN,Japan,['Artistic Swimming'],8/29/2004
HIGA Moe,Female,JPN,Japan,['Artistic Swimming'],9/15/2007
KIJIMA Moeka,Female,JPN,Japan,['Artistic Swimming'],9/2/1999
SATO Tomoka,Female,JPN,Japan,['Artistic Swimming'],8/22/2001
YASUNAGA Mashiro,Female,JPN,Japan,['Artistic Swimming'],7/11/1999
YOSHIDA Megumu,Female,JPN,Japan,['Artistic Swimming'],7/2/1995
AMINE Myles Nazem,Male,SMR,San Marino,['Wrestling'],12/14/1996
OKAZAKI Haruka,Female,JPN,Japan,['Canoe Slalom'],7/3/1998
TANAKA Yuuki,Male,JPN,Japan,['Canoe Slalom'],11/12/2001
HANEDA Takuya,Male,JPN,Japan,['Canoe Slalom'],7/17/1987
YAZAWA Aki,Female,JPN,Japan,['Canoe Slalom'],11/5/1991
KULJACA Jovana,Female,MNE,Montenegro,['Swimming'],5/6/2004
MAKATISI Mokulubete Blandina,Female,LES,Lesotho,['Athletics'],9/1/1995
MILENKOVIC Milos,Male,MNE,Montenegro,['Swimming'],7/12/2005
FLAMIKOVA Pavlina,Female,CZE,Czechia,['Rowing'],9/18/1998
LUKSOVA Lenka,Female,CZE,Czechia,['Rowing'],9/27/1991
NOVOTNIKOVA Radka,Female,CZE,Czechia,['Rowing'],4/7/1995
SANTRUCKOVA Anna,Female,CZE,Czechia,['Rowing'],2/10/2001
SIMANEK Jiri,Male,CZE,Czechia,['Rowing'],10/11/1995
VRASTIL Miroslav,Male,CZE,Czechia,['Rowing'],10/17/1982
IM Aeji,Female,KOR,Korea,['Boxing'],5/11/1999
OH Yeonji,Female,KOR,Korea,['Boxing'],8/4/1990
BUHL Phili,Male,GER,Germany,['Sailing'],12/19/1989
KOHLHOFF Paul,Male,GER,Germany,['Sailing'],6/26/1995
DIESCH Simon,Male,GER,Germany,['Sailing'],2/16/1995
MARKFORT Anna,Female,GER,Germany,['Sailing'],7/2/1993
MEGGENDORFER Jakob,Male,GER,Germany,['Sailing'],1/17/1996
SPRANGER Andreas,Male,GER,Germany,['Sailing'],10/12/1996
STUHLEMMER Alica,Female,GER,Germany,['Sailing'],8/24/1999
BUESSELLBERG Julia,Female,GER,Germany,['Sailing'],5/9/2000
STEINLEIN Theresa Marie,Female,GER,Germany,['Sailing'],3/6/2002
MEYER Leonie,Female,GER,Germany,['Sailing'],2/3/1993
BERGMANN Marla,Female,GER,Germany,['Sailing'],9/16/2001
WILLE Hanna,Female,GER,Germany,['Sailing'],1/27/2001
MAUS Jannis,Male,GER,Germany,['Sailing'],6/10/1996
KOERDEL Sebastian,Male,GER,Germany,['Sailing'],12/16/1990
ANRAKU Sorato,Male,JPN,Japan,['Sport Climbing'],11/14/2006
MORI Ai,Female,JPN,Japan,['Sport Climbing'],9/17/2003
NARASAKI Tomoa,Male,JPN,Japan,['Sport Climbing'],6/22/1996
NONAKA Miho,Female,JPN,Japan,['Sport Climbing'],5/21/1997
PIATROVA Aliaksandra,Female,AIN,AIN,['Shooting'],6/5/2005
BADAWY Aly,Male,EGY,Egypt,['Sailing'],1/1/2001
PERILLI Alessandra,Female,SMR,San Marino,['Shooting'],4/1/1988
MANSY Khouloud,Female,EGY,Egypt,['Sailing'],7/22/1998
DUDYCHA Jakub,Male,CZE,Czechia,['Athletics'],9/5/2005
HABARTA Tomas,Male,CZE,Czechia,['Athletics'],7/10/2003
HAJEK Patrik,Male,CZE,Czechia,['Athletics'],11/11/1998
HLAVAC Vit,Male,CZE,Czechia,['Athletics'],2/26/1997
HOLY David,Male,CZE,Czechia,['Athletics'],3/4/1998
HROCHOVA Tereza,Female,CZE,Czechia,['Athletics'],2/24/1996
HRUBA Michaela,Female,CZE,Czechia,['Athletics'],2/21/1998
JICHOVA Nikoleta,Female,CZE,Czechia,['Athletics'],8/29/2000
JUSKA Radek,Male,CZE,Czechia,['Athletics'],3/8/1993
MANUEL Lurdes Gloria,Female,CZE,Czechia,['Athletics'],7/12/2005
KRSEK Matej,Male,CZE,Czechia,['Athletics'],5/13/2000
KUBELIK Eduard,Male,CZE,Czechia,['Athletics'],10/8/2002
MACIK Ondrej,Male,CZE,Czechia,['Athletics'],1/12/2001
MANASOVA Karolina,Female,CZE,Czechia,['Athletics'],11/26/2003
MARTINKOVA Eliska,Female,CZE,Czechia,['Athletics'],1/27/2002
MEINDLSCHMID Petr,Male,CZE,Czechia,['Athletics'],1/15/2006
MULLER Vit,Male,CZE,Czechia,['Athletics'],8/31/1996
NEMEJC Tomas,Male,CZE,Czechia,['Athletics'],2/24/2000
OGRODNIKOVA Nikola,Female,CZE,Czechia,['Athletics'],8/18/1990
PETRZILKOVA Tereza,Female,CZE,Czechia,['Athletics'],9/10/1993
SASINEK MAKI Kristiina,Female,CZE,Czechia,['Athletics'],9/22/1991
SCERBA Matej,Male,CZE,Czechia,['Athletics'],12/9/1998
SICAKOVA Petra,Female,CZE,Czechia,['Athletics'],4/14/2003
STANEK Tomas,Male,CZE,Czechia,['Athletics'],6/13/1991
STEFELA Jan,Male,CZE,Czechia,['Athletics'],4/20/2001
STEWARTOVA Moira,Female,CZE,Czechia,['Athletics'],6/9/1995
SVABIKOVA Amalie,Female,CZE,Czechia,['Athletics'],11/22/1999
VADLEJCH Jakub,Male,CZE,Czechia,['Athletics'],10/10/1990
VONDROVA Lada,Female,CZE,Czechia,['Athletics'],9/6/1999
BIANCHI Loris,Male,SMR,San Marino,['Swimming'],8/1/2001
KJAER PEDERSEN Alberte,Female,DEN,Denmark,['Triathlon'],6/23/1998
HOLM Emil,Male,DEN,Denmark,['Triathlon'],8/26/1996
WOZNIACKI Caroline,Female,DEN,Denmark,['Tennis'],7/11/1990
TAUSON Clara,Female,DEN,Denmark,['Tennis'],12/21/2002
SKODBORG MERRALD Nanna,Female,DEN,Denmark,['Equestrian'],10/8/1993
BACHMANN ANDERSEN Daniel,Male,DEN,Denmark,['Equestrian'],6/1/1990
FLARUP Peter T,Male,DEN,Denmark,['Equestrian'],4/10/1976
LAUDRUP-DUFOUR Cathrine,Female,DEN,Denmark,['Equestrian'],1/2/1992
SLOTH Nadja Aaboe,Female,DEN,Denmark,['Equestrian'],10/23/1992
SCHOU Andreas,Male,DEN,Denmark,['Equestrian'],9/2/1986
MARE Santiago,Male,ARG,Argentina,['Rugby Sevens'],10/21/1996
POULSEN Rene Holten,Male,DEN,Denmark,['Canoe Sprint'],11/28/1988
JORGENSEN Emma Aastrand,Female,DEN,Denmark,['Canoe Sprint'],1/30/1996
SIBBERSEN Magnus,Male,DEN,Denmark,['Canoe Sprint'],5/20/2001
MADSEN Lasse Bro,Male,DEN,Denmark,['Canoe Sprint'],4/4/1994
MATTHIESEN Frederikke Hauge,Female,DEN,Denmark,['Canoe Sprint'],10/3/2000
GRAVERSEN Morten,Male,DEN,Denmark,['Canoe Sprint'],9/20/1996
AASMUL Victor Gairy,Male,DEN,Denmark,['Canoe Sprint'],4/8/1999
MYSLYVCUK Volodymyr,Male,CZE,Czechia,['Athletics'],4/25/1996
de PINA David,Male,CPV,Cabo Verde,['Boxing'],8/7/1996
STEENSBERG Astrid,Female,DEN,Denmark,['Rowing'],5/3/1996
POULSEN Julie,Female,DEN,Denmark,['Rowing'],8/27/1996
HORNNAESS Clara,Female,DEN,Denmark,['Rowing'],9/4/2003
FOLDAGER Frida Werner,Female,DEN,Denmark,['Rowing'],11/23/2005
VIKKELSOEE Sofie,Female,DEN,Denmark,['Rowing'],8/13/2002
NIELSEN Frida Sanggaard,Female,DEN,Denmark,['Rowing'],12/1/1998
JOHANNESEN Marie Skytte Hauberg,Female,DEN,Denmark,['Rowing'],2/28/1997
MORTENSEN Karen,Female,DEN,Denmark,['Rowing'],12/2/2001
NIELSEN Sverri,Male,DEN,Denmark,['Rowing'],10/14/1993
OESTERGAARD Sophie,Female,DEN,Denmark,['Rowing'],9/11/1999
LAIDLAW Nikoline,Female,DEN,Denmark,['Rowing'],3/2/1995
